№,Код,Полное название ОО,Короткое название ОО,уровень образовательной программы,АТЕ,МСУ,is_urban
473,261046,"муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №46 имени кавалера ордена мужества Дмитрия Бадретдинова""","МБОУ ""Средняя школа №46 имени кавалера ордена мужества Дмитрия Бадретдинова""",3,26,26,1
474,261047,"Государственное бюджетное общеобразовательное учреждение ""Кадетская школа имени Героя Советского Союза Никиты Кайманова""","ГБОУ ""Кадетская школа им. Н. Кайманова""",3,26,26,1
475,261048,Муниципальное автономное общеобразовательное учреждение г. Набережные Челны «Средняя общеобразовательная школа №48» Республики Татарстан,"МАОУ ""СОШ № 48""",3,26,26,1
476,261049,"Муниципальное автономное общеобразовательное учреждение города Набережные Челны ""Кадетская школа №49"" Республики Татарстан","МАОУ ""Кадетская школа №49""",3,26,26,1
477,261050,Муниципальное автономное общеобразовательное учреждение города Набережные Челны «Средняя общеобразовательная школа №50 с углубленным изучением отдельных предметов»,"МАОУ ""СОШ № 50""",3,26,26,1
478,261051,"Муниципальное автономное общеобразовательное учреждение города Набережные Челны ""Средняя общеобразовательная школа №51""","МАОУ ""СОШ №51""",3,26,26,1
479,261053,"муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №53""","МБОУ ""СОШ №53""",3,26,26,1
480,261055,"Муниципальное автономное общеобразовательное учреждение города Набережные Челны ""Средняя общеобразовательная школа №55""","МАОУ ""Средняя общеобразовательная школа №55""",3,26,26,1
481,261056,Муниципальное автономное общеобразовательное учреждение города Набережные Челны «Средняя общеобразовательная школа №56»,МАОУ СОШ 56,3,26,26,1
482,261057,"Муниципальное бюджетное общеобразовательное учреждение""Центр образования - Гимназия №57 ""Притяжение""","МБОУ ""ЦО - Гимназия №57 ""Притяжение""",3,26,26,1
483,261059,Муниципальное бюджетное общеобразовательное учреждение «Полилингвальная гимназия № 59 «Адымнар-Чаллы»,"МБОУ""Адымнар-Чаллы""",3,26,26,1
484,261060,муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа №60»,МБОУ «Средняя школа №60»,3,26,26,1
485,261061,"Муниципальное автономное общеобразовательное учреждение города Набережные Челны ""Гимназия №61""","МАОУ ""Гимназия №61""",3,26,26,1
486,261062,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа ""Центр образования №62""","МБОУ ""Центр образования №62""",3,26,26,1
487,261064,"Муниципальное автономное общеобразовательное учреждение ""Прогимназия №64""","МАОУ ""Прогимназия №64""",1,26,26,1
